MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
367518920,2020-01-01T02:04:48,40.381,-73.82412,10,25,21,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,,B
636018483,2020-01-01T01:39:33,40.38212,-73.77143,9.8,17,23,,,,,0,,,,,B
367518920,2020-01-01T02:06:08,40.38452,-73.82271,9.9,11,7,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,,B
636018483,2020-01-01T01:40:43,40.38501,-73.76993,9.4,23.9,31,,,,,0,,,,,B
367518920,2020-01-01T02:07:25,40.38806,-73.82241,9.9,-51.6,354,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,,A
636018483,2020-01-01T01:42:53,40.38974,-73.7663,9,31.6,33,,,,,0,,,,,B
367518920,2020-01-01T02:08:29,40.39092,-73.8229,9.9,-57.3,350,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,,B
636018483,2020-01-01T01:44:14,40.39272,-73.764,9.3,28.5,30,,,,,0,,,,,B
367518920,2020-01-01T02:09:38,40.39405,-73.82372,10,-59.8,351,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,,B
636018483,2020-01-01T01:45:24,40.3954,-73.76218,9.4,26.8,29,,,,,0,,,,,B
367518920,2020-01-01T02:10:49,40.39735,-73.82445,10,-58.6,351,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,,B
636018483,2020-01-01T01:47:42,40.40085,-73.75849,9.6,28.9,35,,,,,0,,,,,B
367518920,2020-01-01T02:12:08,40.40095,-73.82527,10.2,-59.8,351,AMERICAN PHOENIX,IMO9564578,WDG2754,80,0,188,32,11,,B
369305000,2020-01-01T00:02:26,40.40235,-73.93697,2.5,-145.1,267,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:03:35,40.40237,-73.93788,1.8,-135,272,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:04:45,40.40248,-73.93855,1.6,-124.8,267,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:01:16,40.40249,-73.93566,4.3,-148.5,260,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:05:56,40.40258,-73.93909,1.2,-127.6,270,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:07:06,40.4027,-73.93943,0.7,-107,273,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:00:07,40.40279,-73.93358,5.4,-148.1,256,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:08:16,40.40282,-73.93954,0.3,0.3,273,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:09:26,40.40289,-73.93948,0.4,29.4,279,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:10:30,40.40293,-73.9394,0.3,102.9,295,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,A
369305000,2020-01-01T00:29:45,40.40297,-73.9394,1.1,122.3,321,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T02:09:36,40.40297,-73.93935,0.1,-68.4,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:18:36,40.40297,-73.93934,0.5,-92.2,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:27:47,40.40297,-73.93934,0.4,153.3,320,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T01:31:16,40.40297,-73.93934,0.1,156,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T01:38:07,40.40297,-73.93934,0.3,163.7,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T02:10:46,40.40297,-73.93934,0.2,-109.8,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T02:13:46,40.40297,-73.93934,0.4,-104.6,315,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:20:36,40.40297,-73.93933,0.2,46.3,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T01:27:26,40.40297,-73.93933,0.6,129.3,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:17:27,40.40297,-73.93931,0.5,-85.4,314,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:16:16,40.40297,-73.9393,0.3,-88.6,313,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
369305000,2020-01-01T00:31:45,40.40298,-73.93936,0.2,127.7,315,MAGDALEN,IMO9652210,WDJ7547,,3,,,,,B
